"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50309.405732,
"AUS","GDP","TOT","USD_CAP","A","2017",51235.994585,
"AUS","GDP","TOT","USD_CAP","A","2018",53662.954518,"E"
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52614.377745,
"AUT","GDP","TOT","USD_CAP","A","2017",54652.468293,
"AUT","GDP","TOT","USD_CAP","A","2018",56889.351557,
"BEL","GDP","TOT","USD_CAP","A","2015",46213.262388,
"BEL","GDP","TOT","USD_CAP","A","2016",48624.98197,
"BEL","GDP","TOT","USD_CAP","A","2017",50771.438367,
"BEL","GDP","TOT","USD_CAP","A","2018",52282.099049,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.409504,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CAN","GDP","TOT","USD_CAP","A","2017",48637.899591,
"CAN","GDP","TOT","USD_CAP","A","2018",50076.312436,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35880.287434,
"CZE","GDP","TOT","USD_CAP","A","2017",38507.349496,
"CZE","GDP","TOT","USD_CAP","A","2018",40402.65213,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.304706,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"DNK","GDP","TOT","USD_CAP","A","2017",55045.621474,
"DNK","GDP","TOT","USD_CAP","A","2018",57214.807946,
"FIN","GDP","TOT","USD_CAP","A","2015",42527.950728,
"FIN","GDP","TOT","USD_CAP","A","2016",44922.92647,
"FIN","GDP","TOT","USD_CAP","A","2017",47470.635988,
"FIN","GDP","TOT","USD_CAP","A","2018",49543.328022,
"FRA","GDP","TOT","USD_CAP","A","2015",40840.848298,
"FRA","GDP","TOT","USD_CAP","A","2016",42853.539363,
"FRA","GDP","TOT","USD_CAP","A","2017",44651.364447,"P"
"FRA","GDP","TOT","USD_CAP","A","2018",46242.462474,"P"
"DEU","GDP","TOT","USD_CAP","A","2015",47683.547301,
"DEU","GDP","TOT","USD_CAP","A","2016",50564.049275,
"DEU","GDP","TOT","USD_CAP","A","2017",53011.742456,
"DEU","GDP","TOT","USD_CAP","A","2018",54456.783931,
"GRC","GDP","TOT","USD_CAP","A","2015",26902.327613,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27823.314892,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",29088.947934,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",30354.303326,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26668.040855,
"HUN","GDP","TOT","USD_CAP","A","2016",27699.630853,
"HUN","GDP","TOT","USD_CAP","A","2017",29529.309338,
"HUN","GDP","TOT","USD_CAP","A","2018",31578.759892,
"ISL","GDP","TOT","USD_CAP","A","2015",48856.560901,
"ISL","GDP","TOT","USD_CAP","A","2016",53031.605301,
"ISL","GDP","TOT","USD_CAP","A","2017",55491.631297,
"ISL","GDP","TOT","USD_CAP","A","2018",58255.624818,
"IRL","GDP","TOT","USD_CAP","A","2015",69147.029059,
"IRL","GDP","TOT","USD_CAP","A","2016",72017.755243,
"IRL","GDP","TOT","USD_CAP","A","2017",78211.410456,
"IRL","GDP","TOT","USD_CAP","A","2018",84575.437304,
"ITA","GDP","TOT","USD_CAP","A","2015",36909.296843,
"ITA","GDP","TOT","USD_CAP","A","2016",39918.302413,
"ITA","GDP","TOT","USD_CAP","A","2017",41784.820332,
"ITA","GDP","TOT","USD_CAP","A","2018",42798.088131,
"JPN","GDP","TOT","USD_CAP","A","2015",40406.095333,
"JPN","GDP","TOT","USD_CAP","A","2016",40023.592457,
"JPN","GDP","TOT","USD_CAP","A","2017",40826.53582,
"JPN","GDP","TOT","USD_CAP","A","2018",41501.552798,"E"
"KOR","GDP","TOT","USD_CAP","A","2015",37907.460937,
"KOR","GDP","TOT","USD_CAP","A","2016",39566.864428,
"KOR","GDP","TOT","USD_CAP","A","2017",41000.995844,
"KOR","GDP","TOT","USD_CAP","A","2018",42135.780723,"P"
"LUX","GDP","TOT","USD_CAP","A","2015",103787.967646,
"LUX","GDP","TOT","USD_CAP","A","2016",110249.797049,
"LUX","GDP","TOT","USD_CAP","A","2017",112701.659716,
"LUX","GDP","TOT","USD_CAP","A","2018",116622.236253,
"MEX","GDP","TOT","USD_CAP","A","2015",18438.044081,
"MEX","GDP","TOT","USD_CAP","A","2016",19506.640994,
"MEX","GDP","TOT","USD_CAP","A","2017",20022.661214,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20659.867277,"E"
"NLD","GDP","TOT","USD_CAP","A","2015",50301.845624,
"NLD","GDP","TOT","USD_CAP","A","2016",52284.122623,
"NLD","GDP","TOT","USD_CAP","A","2017",55348.891835,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57563.957867,"P"
"NZL","GDP","TOT","USD_CAP","A","2015",37158.228941,
"NZL","GDP","TOT","USD_CAP","A","2016",39566.365389,
"NZL","GDP","TOT","USD_CAP","A","2017",40600.567624,"E"
"NZL","GDP","TOT","USD_CAP","A","2018",41491.010258,"E"
"NOR","GDP","TOT","USD_CAP","A","2015",60357.280505,
"NOR","GDP","TOT","USD_CAP","A","2016",58917.28833,
"NOR","GDP","TOT","USD_CAP","A","2017",62940.203039,
"NOR","GDP","TOT","USD_CAP","A","2018",67613.655116,
"POL","GDP","TOT","USD_CAP","A","2015",26529.036797,
"POL","GDP","TOT","USD_CAP","A","2016",27947.390312,
"POL","GDP","TOT","USD_CAP","A","2017",29801.809392,
"POL","GDP","TOT","USD_CAP","A","2018",31393.471089,
"PRT","GDP","TOT","USD_CAP","A","2015",29668.804155,
"PRT","GDP","TOT","USD_CAP","A","2016",31604.417531,
"PRT","GDP","TOT","USD_CAP","A","2017",33086.07203,
"PRT","GDP","TOT","USD_CAP","A","2018",34272.09358,"P"
"SVK","GDP","TOT","USD_CAP","A","2015",29932.196336,
"SVK","GDP","TOT","USD_CAP","A","2016",29651.534784,
"SVK","GDP","TOT","USD_CAP","A","2017",30910.718734,
"SVK","GDP","TOT","USD_CAP","A","2018",32621.221032,
"ESP","GDP","TOT","USD_CAP","A","2015",34938.581464,
"ESP","GDP","TOT","USD_CAP","A","2016",37309.865924,
"ESP","GDP","TOT","USD_CAP","A","2017",39626.846666,"P"
"ESP","GDP","TOT","USD_CAP","A","2018",40542.184587,"P"
"SWE","GDP","TOT","USD_CAP","A","2015",48974.93343,
"SWE","GDP","TOT","USD_CAP","A","2016",50433.852154,
"SWE","GDP","TOT","USD_CAP","A","2017",52692.844717,
"SWE","GDP","TOT","USD_CAP","A","2018",53807.866963,
"CHE","GDP","TOT","USD_CAP","A","2015",63938.958241,
"CHE","GDP","TOT","USD_CAP","A","2016",65720.161893,
"CHE","GDP","TOT","USD_CAP","A","2017",67139.04087,"P"
"CHE","GDP","TOT","USD_CAP","A","2018",69357.504185,"P"
"TUR","GDP","TOT","USD_CAP","A","2015",25727.604649,
"TUR","GDP","TOT","USD_CAP","A","2016",26509.937205,
"TUR","GDP","TOT","USD_CAP","A","2017",28208.552414,
"TUR","GDP","TOT","USD_CAP","A","2018",28454.631556,
"GBR","GDP","TOT","USD_CAP","A","2015",42522.183841,
"GBR","GDP","TOT","USD_CAP","A","2016",44138.043208,
"GBR","GDP","TOT","USD_CAP","A","2017",45987.961004,
"GBR","GDP","TOT","USD_CAP","A","2018",46885.061194,
"USA","GDP","TOT","USD_CAP","A","2015",56770.417349,
"USA","GDP","TOT","USD_CAP","A","2016",57884.491072,
"USA","GDP","TOT","USD_CAP","A","2017",59984.093912,
"USA","GDP","TOT","USD_CAP","A","2018",62852.658229,
"CHL","GDP","TOT","USD_CAP","A","2015",22593.272962,
"CHL","GDP","TOT","USD_CAP","A","2016",22615.767043,
"CHL","GDP","TOT","USD_CAP","A","2017",23657.208791,
"CHL","GDP","TOT","USD_CAP","A","2018",24709.122527,"E"
"CHN","GDP","TOT","USD_CAP","A","2015",14419.244821,
"CHN","GDP","TOT","USD_CAP","A","2016",15467.890286,
"CHN","GDP","TOT","USD_CAP","A","2017",16737.719358,
"COL","GDP","TOT","USD_CAP","A","2015",13807.774796,
"COL","GDP","TOT","USD_CAP","A","2016",14091.026182,
"COL","GDP","TOT","USD_CAP","A","2017",14392.318578,"P"
"EST","GDP","TOT","USD_CAP","A","2015",29444.318328,
"EST","GDP","TOT","USD_CAP","A","2016",31228.858877,
"EST","GDP","TOT","USD_CAP","A","2017",33866.759766,
"EST","GDP","TOT","USD_CAP","A","2018",36437.352038,
"IND","GDP","TOT","USD_CAP","A","2015",6260.1356,
"IND","GDP","TOT","USD_CAP","A","2016",6717.282686,
"IDN","GDP","TOT","USD_CAP","A","2015",11189.583544,
"IDN","GDP","TOT","USD_CAP","A","2016",11732.330723,
"IDN","GDP","TOT","USD_CAP","A","2017",12408.355302,
"ISR","GDP","TOT","USD_CAP","A","2015",35449.501075,
"ISR","GDP","TOT","USD_CAP","A","2016",37855.603781,
"ISR","GDP","TOT","USD_CAP","A","2017",38982.658321,
"ISR","GDP","TOT","USD_CAP","A","2018",40269.498744,
"RUS","GDP","TOT","USD_CAP","A","2015",24061.099218,
"RUS","GDP","TOT","USD_CAP","A","2016",24237.580018,
"RUS","GDP","TOT","USD_CAP","A","2017",26079.077239,
"RUS","GDP","TOT","USD_CAP","A","2018",28556.986394,
"SVN","GDP","TOT","USD_CAP","A","2015",31640.32549,
"SVN","GDP","TOT","USD_CAP","A","2016",33875.006579,
"SVN","GDP","TOT","USD_CAP","A","2017",36660.871569,
"SVN","GDP","TOT","USD_CAP","A","2018",38785.508635,
"ZAF","GDP","TOT","USD_CAP","A","2015",13344.636344,
"ZAF","GDP","TOT","USD_CAP","A","2016",13386.682735,
"ZAF","GDP","TOT","USD_CAP","A","2017",13578.139445,
"EU28","GDP","TOT","USD_CAP","A","2015",38763.691608,
"EU28","GDP","TOT","USD_CAP","A","2016",41006.207579,
"EU28","GDP","TOT","USD_CAP","A","2017",43183.479384,
"EU28","GDP","TOT","USD_CAP","A","2018",44650.174,
"OECD","GDP","TOT","USD_CAP","A","2015",41452.953283,"P"
"OECD","GDP","TOT","USD_CAP","A","2016",42864.507495,"P"
"OECD","GDP","TOT","USD_CAP","A","2017",44598.861785,"E"
"OECD","GDP","TOT","USD_CAP","A","2018",46179.565768,"E"
"OECDE","GDP","TOT","USD_CAP","A","2015",38524.917734,"P"
"OECDE","GDP","TOT","USD_CAP","A","2016",40494.083837,"P"
"OECDE","GDP","TOT","USD_CAP","A","2017",42568.786336,"P"
"OECDE","GDP","TOT","USD_CAP","A","2018",43870.573521,"P"
"LVA","GDP","TOT","USD_CAP","A","2015",24833.612206,
"LVA","GDP","TOT","USD_CAP","A","2016",26407.216397,
"LVA","GDP","TOT","USD_CAP","A","2017",28504.870548,
"LVA","GDP","TOT","USD_CAP","A","2018",30759.542917,
"BRA","GDP","TOT","USD_CAP","A","2015",15891.287814,
"BRA","GDP","TOT","USD_CAP","A","2016",15406.765126,
"BRA","GDP","TOT","USD_CAP","A","2017",15736.634122,"E"
"LTU","GDP","TOT","USD_CAP","A","2015",28823.805581,
"LTU","GDP","TOT","USD_CAP","A","2016",30924.899739,
"LTU","GDP","TOT","USD_CAP","A","2017",33821.206283,
"LTU","GDP","TOT","USD_CAP","A","2018",35831.865191,
"SAU","GDP","TOT","USD_CAP","A","2015",54172.110832,
"SAU","GDP","TOT","USD_CAP","A","2016",54439.842335,
"EA19","GDP","TOT","USD_CAP","A","2015",41099.807875,
"EA19","GDP","TOT","USD_CAP","A","2016",43564.738152,
"EA19","GDP","TOT","USD_CAP","A","2017",45768.236628,
"EA19","GDP","TOT","USD_CAP","A","2018",47267.512993,
"ARG","GDP","TOT","USD_CAP","A","2015",20551.833194,
"ARG","GDP","TOT","USD_CAP","A","2016",20130.408028,
"ARG","GDP","TOT","USD_CAP","A","2017",20843.152226,
"CRI","GDP","TOT","USD_CAP","A","2015",15669.546565,
"CRI","GDP","TOT","USD_CAP","A","2016",16316.463656,
"CRI","GDP","TOT","USD_CAP","A","2017",16993.869787,"E"
"CRI","GDP","TOT","USD_CAP","A","2018",17639.853441,"E"
"BGR","GDP","TOT","USD_CAP","A","2015",18342.039892,"P"
"BGR","GDP","TOT","USD_CAP","A","2016",20009.53859,"P"
"BGR","GDP","TOT","USD_CAP","A","2017",21447.18693,"P"
"BGR","GDP","TOT","USD_CAP","A","2018",22670.47239,"P"
"HRV","GDP","TOT","USD_CAP","A","2015",22895.352447,
"HRV","GDP","TOT","USD_CAP","A","2016",24775.033488,
"HRV","GDP","TOT","USD_CAP","A","2017",26509.775472,
"HRV","GDP","TOT","USD_CAP","A","2018",28003.532585,"P"
"CYP","GDP","TOT","USD_CAP","A","2015",31722.290647,
"CYP","GDP","TOT","USD_CAP","A","2016",35609.099837,
"CYP","GDP","TOT","USD_CAP","A","2017",37915.706246,
"CYP","GDP","TOT","USD_CAP","A","2018",39858.882825,"P"
"MLT","GDP","TOT","USD_CAP","A","2015",36174.640577,
"MLT","GDP","TOT","USD_CAP","A","2016",39014.044722,
"MLT","GDP","TOT","USD_CAP","A","2017",41850.562372,
"MLT","GDP","TOT","USD_CAP","A","2018",43678.508915,
"ROU","GDP","TOT","USD_CAP","A","2015",21627.198095,
"ROU","GDP","TOT","USD_CAP","A","2016",24310.912177,
"ROU","GDP","TOT","USD_CAP","A","2017",27292.631737,
"ROU","GDP","TOT","USD_CAP","A","2018",29052.252126,"P"
"MKD","GDP","TOT","USD_CAP","A","2015",13891.9988,"E"
"MKD","GDP","TOT","USD_CAP","A","2016",15136.45706,"E"
"ZMB","GDP","TOT","USD_CAP","A","2015",3862.128452,
"ZMB","GDP","TOT","USD_CAP","A","2016",3937.429913,
"ZMB","GDP","TOT","USD_CAP","A","2017",4061.049167,
